Keyword,Position,Previous position,Search Volume,Keyword Difficulty,CPC,URL,Traffic,Traffic (%),Traffic Cost,Competition,Number of Results,Trends,Timestamp,SERP Features by Keyword,Keyword Intents,Position Type
hgh london,47,47,170,23,0.00,https://steroids-uk.com/product-category/growth-hormone/,0,0,0.00,0.33,107,"6, 53, 65, 65, 65, 81, 81, 100, 65, 65, 34, 12",2026-08-09,"Knowledge panel, Sitelinks, People also ask, Related searches",navigational,Organic
hgh london,60,60,170,23,0.00,https://steroids-uk.com/product-category/growth-hormone/,0,0,0.00,0.33,107,"6, 53, 65, 65, 65, 81, 81, 100, 65, 65, 34, 12",2026-08-09,"Knowledge panel, Sitelinks, People also ask, Related searches",navigational,Organic
buy hcg 5000 iu uk,13,13,140,9,1.78,https://steroids-uk.com/product-category/hcg/,0,0,0.00,0.07,96,"5, 28, 35, 23, 23, 53, 43, 53, 35, 28, 17, 35",2026-08-11,Related searches,transactional,Organic
ralvo,65,65,110,18,0.00,https://steroids-uk.com/shop/raloxifene-50tabs-20mg-beligas-pharmaceuticals/,0,0,0.00,0.01,95,"22, 29, 29, 22, 18, 14, 54, 14, 14, 14, 14, 14",2026-08-29,"Image pack, Reviews, People also ask, Related searches, AI overview",informational,Organic
lipotrim uk,81,81,210,6,1.34,https://steroids-uk.com/product-category/fat-loss/,0,0,0.00,1,172,"43, 54, 54, 35, 29, 35, 35, 54, 43, 54, 54, 43",2026-08-25,"Reviews, Video, People also ask, Related searches, AI overview",informational,Organic
peptiology uk,37,37,260,27,1.67,https://steroids-uk.com/product-category/peptides/,0,0,0.00,0.36,101,"0, 0, 0, 1, 3, 6, 100, 20, 16, 36, 16, 30",2026-08-12,"Sitelinks, People also ask, Related searches","navigational, transactional",Organic
purchase clomid,22,22,110,24,1.29,https://steroids-uk.com/product-category/clomid/,0,0,0.00,0.24,76,"10, 10, 10, 53, 35, 17, 23, 35, 28, 23, 43, 28",2026-08-02,"Sitelinks, People also ask, Related searches, Discussions and forums, AI overview",informational,Organic
eroids uk,29,29,1000,23,0.00,https://steroids-uk.com/product-category/oral/,0,0,0.00,0.01,100,"24, 20, 100, 44, 36, 36, 24, 24, 20, 10, 10, 27",2026-07-30,"Sitelinks, People also ask, Related searches",navigational,Organic
eroids uk,32,32,1000,23,0.00,https://steroids-uk.com/product-category/steroids-warehouse-uk/,0,0,0.00,0.01,100,"24, 20, 100, 44, 36, 36, 24, 24, 20, 10, 10, 27",2026-07-30,"Sitelinks, People also ask, Related searches",navigational,Organic
uk sarms,37,37,4400,21,0.00,https://steroids-uk.com/product-category/sarms/,0,0,0.00,0.41,0,"54, 35, 29, 54, 54, 54, 81, 81, 35, 54, 7, 100",2026-09-05,"Sitelinks, Related searches","commercial, navigational",Organic
nolva,45,45,140,28,0.00,https://steroids-uk.com/product-category/nolvadex/,0,0,0.00,0.02,391000,"0, 0, 2, 0, 0, 20, 13, 20, 13, 8, 2, 1",2026-08-23,"Image pack, Video, People also ask, Related searches, AI overview",informational,Organic
ibutamoren uk,52,52,210,15,0.85,https://steroids-uk.com/product-category/ibutamoren-mk-677/,0,0,0.00,1,158,"13, 13, 8, 16, 25, 13, 16, 8, 7, 8, 7, 7",2026-08-02,"Video, People also ask, Related searches, AI overview",informational,Organic
igf des,34,34,140,10,2.32,https://steroids-uk.com/shop/igf1-des-pharmaqo/,0,0,0.00,0.4,64,"42, 42, 52, 33, 42, 52, 66, 80, 100, 100, 66, 66",2026-08-18,"Image pack, Video, People also ask, Related searches, AI overview",informational,Organic
anabol testo,65,65,170,14,0.00,https://steroids-uk.com/product-category/testosterones/,0,0,0.00,0.3,166,"66, 66, 66, 53, 43, 28, 23, 28, 23, 35, 17, 28",2026-08-24,"Image pack, Reviews, People also ask, Related searches, AI overview",informational,Organic
test and deca,22,22,170,20,0.00,https://steroids-uk.com/blog/deca-durabolin-cycle-guide/,0,0,0.00,0.2,113,"65, 80, 65, 65, 53, 53, 42, 65, 65, 65, 65, 65",2026-08-12,"Sitelinks, People also ask, Related searches, AI overview",informational,Organic
peptides in uk,55,55,90,23,0.68,https://steroids-uk.com/product-category/peptides/,0,0,0.00,1,134,"11, 11, 17, 23, 23, 29, 41, 82, 82, 82, 82, 100",2026-07-21,"Local pack, Video, People also ask, Related searches, AI overview",commercial,Organic
where can you buy clomid,24,24,90,23,1.25,https://steroids-uk.com/product-category/clomid/,0,0,0.00,0.21,77,"42, 26, 26, 42, 34, 34, 34, 34, 42, 26, 26, 26",2026-08-03,"People also ask, Related searches, AI overview","informational, transactional",Organic
